phone_model,Rating,Price,BRANDS,index,SALES IN MILLIONS
Apple iPhone 12,4.533333333333333,52799.333333333336,Apple,2,223.7
Xiaomi 12 Pro,4.0,56999.0,Xiaomi,4,152.2
