phone_model,Rating,Price,BRANDS,index,SALES IN MILLIONS
Samsung Galaxy A03,3.8,8190.0,Samsung,0,259.6
OPPO A15s (Rainbow,4.3,9990.0,OPPO,20,106.2
vivo Y15s Mystic,4.1,9499.0,vivo,22,100.0
IKALL Z20 Smartphone,4.3,7499.0,IKALL,26,1.0
