phone_model,Rating,Price,BRANDS,index,SALES IN MILLIONS
Samsung Galaxy M53,3.9,26499.0,Samsung,0,259.6
Xiaomi 11 Lite,4.0,25665.666666666668,Xiaomi,4,152.2
OPPO F21 Pro,4.1,21999.0,OPPO,20,106.2
Vivo V23 5G,4.0,29400.0,Vivo,8,100.0
