phone_model,Rating,Price Rs
"Voto V2 (Black,",3.5,4199.0
"Forme R7 (Red&Black,",3.5,5950.0
Forme R7S (Champagne,3.5,6999.0
"Homtom H5 (Gold,",3.5,6499.0
I Kall K200,3.5,4565.666666666667
BlackZone UNI 4G,3.4,5500.0
Coolpad Mega 5C,3.4,5185.0
"VOTO V11 (Blue,",3.4,4190.0
I Kall K9,3.4,4799.0
I Kall K7,3.3,4799.0
Ismart i1 EPIC,3.2,4999.0
I Kall K800,3.2,4499.0
I Kall K,3.1999999999999997,5932.333333333333
I Kall K3,3.1,5399.0
I kall K10,3.0,5899.0
I Kall K220,3.0,4799.0
Ismart i 1,3.0,5899.0
I Kall K6,3.0,6299.0
"Gome U7 (Black,",2.9,9789.0
I Kall K600,2.9,3949.0
Ismart Extreme (Sea,2.9,6299.0
I Kall K1000,2.8,6049.0
I Kall K400,2.8,6099.0
I Kall K210,2.8,4499.0
"Kekai S5 (Blue,",2.8,4679.0
Ismart I1 Dynamite,2.8,4999.0
I Kall K201,2.7,5299.0
I Kall K4,2.6333333333333333,5565.666666666667
Itel VISION 1,2.5,6899.0
Ismart Is-58 Power,2.5,4299.0
Yu Yutopia (Graphite,2.5,7180.0
I Kall K300,2.4,6799.0
I Kall K-2,,5899.0
I Kall K260,,4699.0
Ismart I1 Extreme,,6299.0
Realme Narzo 20A,,8999.0
"Spinup A9 (Blue,",,6449.0
TECNO Spark Air,,8240.0
