phone_model,Rating,Price Rs
Redmi K20 (Carbon,4.5,21999.0
OPPO Reno2 Z,4.5,27239.5
POCO F1 (Rosso,4.5,21999.0
POCO X2 (Phoenix,4.5,21499.0
Realme X (Space,4.5,20999.0
Realme X2 (Pearl,4.5,22999.0
Redmi K20 (Glacier,4.5,21999.0
Redmi K20 (Pearl,4.5,21999.0
Redmi K20 Pro,4.5,22999.0
Vivo V11 (Nebula,4.5,24990.0
Vivo V11 (Starry,4.5,24990.0
Vivo V11 Pro,4.5,28990.0
Vivo V15 Pro,4.5,25744.5
Vivo V17 (Glacier,4.5,24990.0
Vivo V17 (Midnight,4.5,24990.0
Vivo V17Pro (Midnight,4.5,29499.0
Vivo V9 (Pearl,4.5,23990.0
POCO F1 (Armoured,4.5,22999.0
Vivo V9 (Sapphire,4.5,23990.0
OPPO F9 Pro,4.5,21150.0
OPPO Reno3 Pro,4.4,28790.0
Samsung Galaxy A6,4.4,25500.0
"Vivo V7+ (Gold,",4.4,22221.0
Vivo V19 (Piano,4.4,26490.0
Vivo V19 (Mystic,4.4,26490.0
Honor 20 (Sapphire,4.4,22999.0
Honor 8,4.4,29999.0
Vivo V15 (Frozen,4.4,21099.0
Vivo S1 (Skyline,4.4,20990.0
Samsung Galaxy S9,4.4,24999.0
Samsung Galaxy M31s,4.4,22337.5
Samsung Galaxy J7,4.4,20995.0
Samsung Galaxy A80,4.4,29999.0
OPPO Reno2 F,4.4,21990.0
Samsung Galaxy A6+,4.4,23795.0
Samsung Galaxy A71,4.4,29499.0
Samsung Galaxy A51,4.4,23749.0
Redmi Note 9,4.4,22926.333333333332
OPPO F17 Pro,4.4,22990.0
Realme 7 Pro,4.4,21999.0
"OPPO F5 (Black,",4.4,26603.0
"OPPO F5 (Red,",4.4,24990.0
Samsung Galaxy A70,4.3,25990.0
Realme X3 (Arctic,4.3,25499.0
Realme X3 (Glacier,4.3,25999.0
"LG V30+ (Black,",4.3,24999.0
Realme X3 SuperZoom,4.3,27999.0
"OPPO F3 (Black,",4.3,23500.0
"Vivo NEX (Black,",4.2,23990.0
OPPO K3 (Aurora,4.2,23990.0
OPPO K3 (Jade,4.1,29999.0
OPPO F1 Plus,4.0,27500.0
"Gionee A1 (Black,",4.0,21499.0
"Gionee A1 (Grey,",4.0,21499.0
Honor 6 Plus,3.9,26499.0
Lenovo Z6 Pro,3.8,26999.0
HTC Desire 826,3.7,27990.0
"Blackberry Evolve (Black,",3.7,29999.0
OPPO F11 Pro,,28990.0
OPPO R17 (Ambient,,22998.0
Samsung GALAXY M31S,,25990.0
