phone_model,Rating,Price Rs
Honor 9X (Sapphire,4.35,16499.0
Honor 9N (Robin,4.35,13500.0
"Vivo Y81 (Black,",4.35,14264.0
OPPO F15 (Blazing,4.35,17990.0
Redmi Y3 (Elegant,4.35,12150.0
Realme 7 (Mist,4.35,15999.0
OPPO K1 (Piano,4.35,15740.0
Redmi Y3 (Prime,4.35,12490.0
OPPO A7 (Glaring,4.35,17969.5
OPPO A7 (Glaze,4.35,17894.5
Honor 9X (Midnight,4.35,16499.0
Redmi Note 9,4.3375,16182.4375
"Vivo Y71 (Gold,",4.3,10900.0
Samsung Galaxy M31,4.3,18619.0
Samsung Galaxy M30S,4.3,17163.0
Vivo V5 (Crown,4.3,17980.0
Samsung Galaxy M21,4.3,16423.0
Vivo V5s Perfect,4.3,18690.0
Samsung J7 Max,4.3,19995.0
Tecno Spark 5,4.3,10980.0
Tecno Camon i,4.3,12166.0
Vivo Y71 (Matte,4.3,11450.0
Vivo Y12 (Burgundy,4.3,10990.0
Vivo Y69 (Matte,4.3,13900.0
"Vivo Y69 (Gold,",4.3,14914.0
Vivo Y66 (Crown,4.3,14990.0
Samsung Galaxy J5,4.3,13500.0
Vivo Y12 (Aqua,4.3,12494.5
Vivo Y30 (Emerald,4.3,14990.0
Vivo Y30 (Dazzle,4.3,14990.0
Vivo Y20i (Nebula,4.3,11490.0
Vivo Y20i (Dawn,4.3,11490.0
Samsung Galaxy A31,4.3,19999.0
Samsung Galaxy A30s,4.3,18293.333333333332
Samsung Galaxy A20s,4.3,13900.0
Samsung Galaxy A20,4.3,12195.0
Samsung Galaxy A10s,4.3,10999.0
Redmi Y3 (Bold,4.3,11490.0
Samsung Galaxy A50s,4.3,18570.0
Realme 1 (Moonlight,4.3,10994.5
Panasonic Eluga Z1,4.3,14999.0
"Honor 7X (Red,",4.3,14500.0
OPPO A52 (Stream,4.3,15990.0
"OPPO A3s (Red,",4.3,14999.0
Honor 9N (Midnight,4.3,17999.0
"Honor 9N (Purple,",4.3,14500.0
"OPPO A3s (Purple,",4.3,15000.0
OPPO A31 (Mystery,4.3,13740.0
OPPO A31 (Lake,4.3,14990.0
Honor 9N (Sapphire,4.3,17999.0
OPPO A31 (Fantasy,4.3,13740.0
Honor 9i (Aurora,4.3,19999.0
"OPPO A1K (Red,",4.3,10990.0
"OPPO A1K (Black,",4.3,10990.0
Huawei Y9 Prime,4.3,16899.0
"OPPO A12 (Blue,",4.3,11490.0
"OPPO A12 (Black,",4.3,11490.0
Mi Mix 2,4.3,19999.0
Moto E5 (Grey/Flash,4.3,12000.0
OPPO A52 (Twilight,4.3,15990.0
Moto G (3rd,4.3,10999.0
OPPO F3 Deepika,4.3,17000.0
"Realme 1 (Black,",4.3,10990.0
Redmi 6 Pro,4.3,11638.333333333334
"Honor 7X (Gold,",4.3,14750.0
"OPPO A5s (Black,",4.3,10990.0
Realme 1 (Diamond,4.3,11297.0
"Honor 7X (Blue,",4.3,14111.0
"OPPO A5s (Blue,",4.3,11490.0
"OPPO A5s (Gold,",4.3,10990.0
"OPPO A5s (Green,",4.3,10990.0
"OPPO A5s (Red,",4.3,12990.0
OPPO A83 (2018,4.3,17000.0
"Honor 7X (Black,",4.3,14111.0
OPPO A9 2020,4.3,16990.0
"OPPO F3 (Gold,",4.3,18000.0
OPPO F3 (Rose,4.3,18000.0
Samsung Galaxy J7,4.266666666666667,15363.5
OPPO A53 (Electric,4.25,14240.0
Mi A3 (Kind,4.25,16249.0
Mi A3 (More,4.25,16247.0
OPPO A53 (Fancy,4.25,14240.0
OPPO A53 (Fairy,4.25,14240.0
"Honor 7C (Blue,",4.2,12999.0
Vivo Y55S (Matte,4.2,13995.0
Moto X Play(With,4.2,17499.0
Vivo Y53 (Crown,4.2,11190.0
Infinix Hot S3X,4.2,10999.0
"LG Q60 (Blue,",4.2,13288.0
"Mi A2 (Gold,",4.2,12990.0
Mi A2 (Rose,4.2,13999.0
Mi A3 (Not,4.2,17485.0
Gionee M7 Power,4.2,16682.0
Redmi 9 (Carbon,4.2,10999.0
"Nokia 7.2 (Charcoal,",4.2,17999.0
Samsung Galaxy M40,4.2,16065.0
Samsung Galaxy M11,4.2,11740.625
Nokia 3.1 Plus,4.2,10440.0
"OPPO A83 (Champagne,",4.2,11000.0
Samsung Galaxy A21s,4.2,15749.0
Redmi 9 (Sky,4.2,10949.0
"OPPO A57 (Gold,",4.2,13500.0
Samsung Galaxy J4,4.2,12006.5
Samsung Galaxy M01s,4.199999999999999,10169.5
Samsung Galaxy M30s,4.199999999999999,16849.5
"Mi A2 (Red,",4.15,13449.5
Tecno Camon 15,4.15,13996.75
Motorola G9 (Forest,4.1,11499.0
Panasonic Eluga Ray,4.1,10990.0
Asus Zenfone 2,4.1,12999.0
Asus Zenfone Max,4.1,10999.0
"Moto One (Black,",4.1,14999.0
Mi A2 (Lake,4.1,17500.0
Motorola G9 (Sapphire,4.1,11499.0
"Nokia 3.2 (Black,",4.1,11749.5
"Nokia 4.2 (Black,",4.1,10900.0
Nokia 5 (Matte,4.1,12499.0
"Nokia 5.1 (Black&Blue,",4.0,16300.0
"Nokia 3.1 (Blue/Copper,",4.0,11500.0
"Nokia 3.1 (White,",4.0,11500.0
Tecno Camon i4,4.0,11885.375
Infinix Note 5,4.0,14865.666666666666
Nokia 5 (Tempered,4.0,11990.0
LG W10 (Smokey,3.9,10990.0
LG Q Stylus+,3.9,17999.0
Asus Zenfone Selfie,3.9,14999.0
LG Q Stylus,3.8,15899.0
"Gionee P7 (Grey,",3.8,12000.0
Honor 9x Pro,3.8,17999.0
Alcatel Idol 4,3.7,16999.0
"Lenovo X2-AP (Gold,",3.7,17499.0
Panasonic Eluga Switch,3.4,14990.0
Yu Yureka 2,3.3,12299.0
"XOLO BLACK (Black,",3.1,11936.0
POCO X3 (Cobalt,,18499.0
