phone_model,Rating,Price Rs
Realme Narzo 20,4.55,13499.0
Realme XT (Pearl,4.5,17332.333333333332
Realme 5i (Forest,4.5,10999.0
OPPO F9 Pro,4.5,19490.0
POCO F1 (Steel,4.5,18999.0
POCO X2 (Matrix,4.5,17999.0
POCO X2 (Phoenix,4.5,18499.0
Vivo Z1Pro (Sonic,4.5,16990.0
Redmi Note 6,4.5,13871.0
Realme 2 Pro,4.5,14656.666666666666
Realme 3 Pro,4.5,15749.0
Realme 5i (Aqua,4.5,10999.0
POCO X2 (Atlantis,4.5,17999.0
Realme X2 (Pearl,4.5,17999.0
Realme X (Space,4.5,17999.0
Realme Narzo 10,4.5,11999.0
Realme C15 (Power,4.5,10999.0
Realme 5 Pro,4.457142857142857,16427.571428571428
Redmi Note 7,4.45,14163.7
Vivo S1 (Diamond,4.45,18109.5
"Redmi Y2 (Gold,",4.45,11554.5
Vivo S1 (Skyline,4.45,18490.0
Realme 6i (Eclipse,4.45,13499.0
Redmi Note 5,4.44,12574.7
Realme 7 Pro,4.4,19999.0
Samsung Galaxy A50,4.4,18999.0
OPPO F11 (Fluorite,4.4,17990.0
Realme 3i (Diamond,4.4,10499.0
OPPO A9 (Marble,4.4,16490.0
OPPO A9 (Fluorite,4.4,16490.0
Samsung Galaxy A30,4.4,17750.0
OPPO A5 2020,4.4,13127.833333333334
OPPO F11 Pro,4.4,17570.0
Redmi 9 Prime,4.4,12601.714285714286
Samsung Galaxy J8,4.4,19245.0
Samsung Galaxy M30,4.4,14990.0
Samsung Galaxy On8,4.4,19990.0
Realme 5 (Crystal,4.4,11999.0
OPPO F11 (Marble,4.4,17990.0
OPPO F17 (Dynamic,4.4,18990.0
OPPO F17 (Classic,4.4,17990.0
Vivo Z1x (Fusion,4.4,17990.0
OPPO F17 (Navy,4.4,18990.0
Redmi Y2 (Dark,4.4,12970.0
Redmi Note 8,4.4,16295.0
Realme 6 Pro,4.4,18599.0
OPPO Reno2 F,4.4,18990.0
POCO M2 (Brick,4.4,11499.0
POCO M2 (Pitch,4.4,10999.0
POCO M2 (Slate,4.4,11749.0
POCO M2 Pro,4.4,15332.333333333334
Vivo S1 Pro,4.4,18990.0
Redmi Note 4,4.4,12998.5
Realme 6i (Lunar,4.4,13999.0
Realme 6 (Comet,4.4,15999.0
Vivo Y95 (Nebula,4.4,15490.0
Vivo U10 (Electric,4.4,11823.333333333334
Vivo Y50 (Iris,4.4,16990.0
Vivo Y17 (Mineral,4.4,13900.0
Vivo Y17 (Mystic,4.4,13900.0
Vivo Y19 (Magnetic,4.4,14990.0
Vivo U10 (Thunder,4.4,11823.333333333334
Vivo Y20 (Dawn,4.4,12990.0
Vivo Y20 (Obsidian,4.4,12990.0
Vivo Y20 (Purist,4.4,12990.0
Mi A1 (Rose,4.4,14999.0
"Mi A1 (Gold,",4.4,13999.0
"Mi A1 (Black,",4.4,13999.0
Vivo Z1x (Phantom,4.4,17990.0
Infinix S5 Pro,4.4,11499.0
Vivo Y50 (Pearl,4.4,16990.0
Vivo Y15 (Aqua,4.4,12990.0
Infinix Hot 9,4.4,10499.0
"Honor 8X (Blue,",4.4,19999.0
"Vivo Y81 (Gold,",4.4,11500.0
"Vivo Y81i (Gold,",4.4,10736.0
"Vivo Y83 (Black,",4.4,11770.0
"Vivo Y83 (Gold,",4.4,11999.0
Vivo Y83 Pro,4.4,14500.0
Honor 10 Lite,4.4,13999.0
Vivo Y91 (Nebula,4.4,10500.0
Vivo Y91 (Ocean,4.4,11990.0
Vivo Y93 (Nebula,4.4,14490.0
Vivo Y93 (Starry,4.4,14490.0
Vivo Y15 (Burgundy,4.4,12990.0
Vivo Y19 (Spring,4.4,14990.0
OPPO A5 (Diamond,4.4,14821.333333333334
Vivo U20 (Racing,4.4,14499.0
Motorola One Fusion+,4.4,17499.0
"Vivo V7 (Gold,",4.4,18990.0
Vivo V7 (Matte,4.4,19670.0
Vivo V9 Pro,4.4,18990.0
Vivo V9 Youth,4.4,17494.5
Samsung Galaxy J6,4.375,13895.0
OPPO F15 (Unicorn,4.35,17990.0
OPPO F15 (Lightening,4.35,17990.0
