phone_model,Rating,Price Rs
Google Pixel 3a,4.5,30999.0
OPPO Reno2 (Ocean,4.5,39990.0
iQOO 3 (Quantum,4.5,36490.0
Huawei P9 (Mystic,4.5,39999.0
Realme X2 Pro,4.5,31999.0
Redmi K20 Pro,4.5,31999.0
OPPO Reno2 (Luminous,4.5,39990.0
Huawei P9 (Titanium,4.5,39999.0
iQOO 3 (Tornado,4.5,36490.0
OPPO Reno4 Pro,4.433333333333334,34990.0
Samsung Galaxy A71,4.4,33990.0
Samsung Galaxy Note10,4.4,39999.0
Samsung Galaxy A70,4.3,30900.0
Samsung Galaxy A8,4.3,34999.0
Vivo X50 (Frost,4.3,36490.0
Vivo X50 (Glaze,4.3,36490.0
Samsung Galaxy A70s,4.25,32050.0
Realme X3 SuperZoom,4.2,32999.0
"Vivo X21 (Black,",4.2,36990.0
OPPO R17 Pro,4.1,31590.0
"Nokia 9 (Blue,",3.8,31999.0
OPPO R17 (Neon,,36990.0
