Samsung Galaxy S10,4.5,45499,8GB,128GB,Exynos 9820,10MP,12MP + 16MP + 12MP,Dual,No,\static\50k phones\samsung-galaxy-s10-sm-original-.jpeg
Vivo X50 Pro,4.5,49990,8GB,256GB,Snapdragon 765G,32MP,48MP + 13MP + 8MP + 8MP,Quad,Yes,\static\50k phones\vivo-x50-pro-vivo-2006-original-.jpeg
OPPO Reno 10x,4.4,41990,8GB,128GB,Snapdragon 855,16MP,48MP + 13MP + 8MP,Triple,Yes,\static\50k phones\reno-10x-zoom-128-b--oppo-6-original-.jpeg
Asus ROG Phone,4.4,49999,12GB,512GB,Snapdragon 845,8MP,12MP + 8MP,Dual,Yes,\static\50k phones\asus-rog-phone-ii-original-.jpeg
Samsung Galaxy S7,4.4,41900,4GB,32GB/64GB,Exynos 8890,5MP,12.2MP,Single,Yes,\static\50k phones\samsung-galaxy-s7-na-original-.jpeg
iQOO 3 (5G),4.4,44990,12GB,256GB/512GB,Snapdragon 865,16MP,48MP + 13MP + 13MP + 2MP,Quad,Yes,\static\50k phones\iqoo-3-5g-i1928-original-.jpeg
Mi 10 (Coral,4.3,46980,8GB,128GB,Snapdragon 865,20MP,108MP + 13MP + 2MP + 2MP,Quad,No,\static\50k phones\mi-10-original-.jpeg
Mi 10 (Twilight,4.3,46980,8GB,128GB,Snapdragon 865,20MP,108MP + 13MP + 2MP + 2MP,Quad,No,\static\50k phones\mi-10-original- (2).jpeg
Realme X50 Pro,4.3,44999,12GB,256GB/512GB,Snapdragon 865,32MP + 8MP,64MP + 12MP + 8MP + 2MP,Quad,Yes,\static\50k phones\realme-x50-pro-rmx2076-original-.jpeg
