Samsung Galaxy S20,4.2,31079,Samsung,0,259.6,12GB,128GB,Qualcomm Snapdragon 865,10MP,64MP + 12MP + 12MP,Dual SIM,Yes,\static\40k Company\S20fe.webp
Xiaomi 11T Pro,4.1,35999,Xiaomi,4,152.2,12GB,256GB,Qualcomm Snapdragon 888,16MP,108MP + 8MP + 5MP,Dual SIM,No,\static\40k Company\11t-pro.webp
