TECNO Spark 6,5,9499,2GB,32GB,Mediatek Helio A22,8MP,13MP + 2MP,Dual,Yes,\static\10k phones\tecno-spark-air-6-ke-6-original-.jpeg
Redmi 9i (Midnight,4.5,8799,4GB,64GB,Mediatek Helio G25,5MP,13MP,Dual,Yes,\static\10k phones\redmi-9i-original-.jpeg
Samsung Galaxy J6,4.5,9490,3GB,32GB,Exynos 7870 Octa,8MP,13MP + 5MP,Dual,Yes,\static\10k phones\samsung-galaxy-j6-original-.jpeg
Realme C12 (Power,4.5,8999,3GB,32GB,Mediatek Helio G35,5MP,13MP + 2MP,Dual,Yes,\static\10k phones\realme-c12--original-.jpeg
Redmi 9i (Sea,4.5,8799,4GB,64GB,Mediatek Helio G25,5MP,13MP,Dual,Yes,\static\10k phones\redmi-9i-original- (3).jpeg
Infinix Hot 8,4.5,8499,4GB,64GB,Mediatek Helio P22,8MP,13MP + 2MP,Dual,Yes,\static\10k phones\infinix-hot-8-x650c-original-.jpeg
Infinix Hot 9,4.5,9499,4GB,64GB,Mediatek Helio A25,8MP,13MP + 2MP,Dual,Yes,\static\10k phones\infinix-hot-9-x655d-original-.jpeg
Realme Narzo 10A,4.5,9499,3GB,32GB,Mediatek Helio G70,5MP,12MP + 2MP + 2MP,Triple,Yes,\static\10k phones\realme-narzo-10a--original-.jpeg
Redmi 9i (Nature,4.5,8799,4GB,64GB,Mediatek Helio G25,5MP,13MP,Dual,Yes,\static\10k phones\redmi-9i-original- (2).jpeg
"Redmi Y2 (Blue,",4.5,9199,3GB,32GB,Qualcomm Snapdragon 625,16MP,12MP + 5MP,Dual,Yes,\static\10k phones\mi-redmi-y2-y2-original-.jpeg
"Redmi Y2 (Black,",4.5,8999,3GB,32GB,Qualcomm Snapdragon 625,16MP,12MP + 5MP,Dual,Yes,\static\10k phones\mi-redmi-y2-y2-original- (2).jpeg
Samsung Galaxy A10,4.4,7990,2GB,32GB,Exynos 7884 Octa,5MP,13MP,Single,Yes,\static\10k phones\samsung-galaxy-a10-original-.jpeg
Redmi 9A (Nature,4.4,8574,2GB,32GB,MediaTek Helio G25,5MP,13MP,Single,Yes,\static\10k phones\mi-redmi-9a-original-(1).jpeg
"Redmi 9A (SeaBlue,",4.4,8099,2GB,32GB,MediaTek Helio G25,5MP,13MP,Single,Yes,\static\10k phones\mi-redmi-9a-original-(2).jpeg
Realme C3 (Volcano,4.4,9499,3GB,32GB,Mediatek Helio G70,5MP,12MP + 2MP,Dual,Yes,\static\10k phones\realme-c3--original-.jpeg
Realme C3 (Frozen,4.4,9499,3GB,32GB,Mediatek Helio G70,5MP,12MP + 2MP,Dual,Yes,\static\10k phones\realme-c3--original- (2).jpeg
Realme C3 (Blazing,4.4,9999,3GB,32GB,Mediatek Helio G70,5MP,12MP + 2MP,Dual,Yes,\static\10k phones\realme-c3--original- (3).jpeg
Realme C2 (Diamond,4.4,6749,2GB,16GB,Mediatek Helio P22,5MP,13MP + 2MP,Dual,Yes,\static\10k phones\c2-32-b-rmx1941-realme-3-original-.jpeg
Redmi 9A (Sea,4.4,9142,2GB,32GB,MediaTek Helio G25,5MP,13MP,Single,Yes,\static\10k phones\mi-redmi-9a-original- (3).jpeg
Realme C11 (Rich,4.4,7499,2GB,32GB,Mediatek Helio G35,5MP,13MP + 2MP,Dual,Yes,\static\10k phones\c11-2021-rmx3231-realme-original-.jpeg
OPPO A71 New,4.4,9940,3GB,32GB,Qualcomm Snapdragon 450,5MP,13MP + 2MP,Dual,Yes,\static\10k phones\oppo-a71-cph1717-original-.jpeg
Redmi Note 5,4.4,9990,3GB,32GB,Qualcomm Snapdragon 625,13MP,12MP + 5MP,Dual,Yes,\static\10k phones\mi-redmi-5-na-original-.jpeg
"OPPO A3s (Red,",4.4,9500,2GB,16GB,Qualcomm Snapdragon 450,8MP,13MP + 2MP,Dual,Yes,\static\10k phones\oppo-a3s-cph1803-original-.jpeg
Redmi 9A (Midnight,4.4,8637.25,2GB,32GB,MediaTek Helio G25,5MP,13MP,Dual,Yes,\static\10k phones\redmi-9i-original-.jpeg
Redmi 8 (Emerald,4.4,9999,3GB,32GB,Qualcomm Snapdragon 439,8MP,12MP + 2MP,Dual,Yes,\static\10k phones\mi-redmi-8a-original-.jpeg
Redmi 8 (Ruby,4.4,9999,3GB,32GB,Qualcomm Snapdragon 439,8MP,12MP + 2MP,Dual,Yes,\static\10k phones\mi-redmi-8a-original- (2).jpeg
Redmi 8 (Sapphire,4.4,9999,3GB,32GB,Qualcomm Snapdragon 439,8MP,12MP + 2MP,Dual,Yes,\static\10k phones\mi-redmi-8-original- (3).jpeg
"Vivo Y81i (Black,",4.4,9800,3GB,32GB,Qualcomm Snapdragon 439,5MP,13MP,Dual,Yes,\static\10k phones\vivo-y81i.webp
Infinix Smart 4,4.4,7999,2GB,32GB,MediaTek Helio A22,5MP,8MP,Dual,Yes,\static\10k phones\infinix-smart-4.jpeg
Redmi 8 (Onyx,4.4,9999,3GB,32GB,Qualcomm Snapdragon 439,8MP,12MP + 2MP,Dual,Yes,
Tecno Camon I,4.3,8897.5,2GB,32GB,MediaTek Helio A22,5MP,8MP,Dual,Yes,
"OPPO A5s (Red,",4.3,8990,2GB,32GB,Qualcomm Snapdragon 450,8MP,13MP + 2MP,Dual,Yes,
Motorola E7 Plus,4.3,9499,2GB,32GB,Qualcomm Snapdragon 460,5MP,13MP + 2MP,Dual,Yes,
Vivo Y91i (Ocean,4.3,8443.333333,3GB,32GB,MediaTek Helio P22,8MP,13MP + 2MP,Dual,Yes,
"OPPO A12 (Blue,",4.3,9990,3GB,32GB,Qualcomm Snapdragon 450,5MP,13MP + 2MP,Dual,Yes,
"OPPO A3s (Purple,",4.3,8990,2GB,16GB,Qualcomm Snapdragon 450,8MP,13MP + 2MP,Dual,Yes,
Vivo Y91i (Fusion,4.3,8490,3GB,32GB,MediaTek Helio P22,8MP,13MP + 2MP,Dual,Yes,
Redmi 8A (Sunset,4.3,8999,2GB,32GB,MediaTek Helio A22,5MP,13MP,Single,Yes,
"OPPO A5s (Black,",4.3,9240,2GB,32GB,Qualcomm Snapdragon 450,8MP,13MP + 2MP,Dual,Yes,
Itel A44 Pro,4.3,6142.5,2GB,32GB,Spreadtrum SC9863A,5MP,5MP,Dual,Yes,
"OPPO A5s (Blue,",4.3,8990,2GB,32GB,Qualcomm Snapdragon 450,8MP,13MP + 2MP,Dual,Yes,
Samsung Galaxy A10s,4.3,9949,2GB,32GB,MediaTek Helio P22,8MP,13MP + 2MP,Dual,Yes,
Samsung Galaxy J2,4.3,7749.5,1.5GB,16GB,Spreadtrum SC9832E,5MP,8MP,Single,Yes,
Samsung Galaxy J4,4.3,9245,2GB,32GB,Spreadtrum SC9835,5MP,13MP + 5MP,Dual,Yes,
Redmi 8A (Midnight,4.3,8990,2GB,32GB,MediaTek Helio A22,5MP,13MP,Single,Yes,
Tecno SPARK 6,4.3,7923,2GB,32GB,MediaTek Helio A22,8MP,13MP + 2MP + QVGA,Triple,Yes,
