Samsung Galaxy M13,4,13141.85714,Samsung,0,259.6,4 GB,64 GB,Exynos 850,8 MP,50 MP,Dual,Yes,\static\20K Company\M13.webp
OPPO A31 (Mystery,4.2,11990,OPPO,20,106.2,4 GB,64 GB,MediaTek Helio P35,8 MP,12 MP + 2 MP + 2 MP,Triple,Yes,\static\20K Company\oppo-a31-.webp
Oppo A54 (Crystal,4.2,11490,Oppo,6,106.2,6 GB,128 GB,MediaTek Helio P35,16 MP,13 MP + 2 MP + 2 MP,Triple,Yes,\static\20K Company\a54-oppo-.webp
vivo Y22 (Metaverse,3.6,15499,vivo,22,100,4 GB,64 GB,MediaTek Helio G85,8 MP,50 MP + 2 MP,Dual,Yes,\static\20K Company\vivo y22.webp
Vivo Y33s (Mirror,4.2,17900,Vivo,8,100,8 GB,128 GB,MediaTek Helio G80,16 MP,50 MP + 2 MP + 2 MP,Triple,Yes,\static\20K Company\vivo y33s.webp
Lava Blaze 5G,5,10999,Lava,16,10.7,6 GB,128 GB,MediaTek Dimensity 700,8 MP,50 MP + 2 MP + 2 MP,Triple,Yes,\static\20K Company\blaze-pro-5g-lava-.webp
