Redmi K20 (Carbon,4.5,21999,6GB,128GB,Snapdragon 730,20MP,48MP+8MP+13MP,Dual SIM,Yes,\static\30k\mi-redmi-k20-.jpeg
OPPO Reno2 Z,4.5,27239.5,8GB,128GB,Snapdragon 710,16MP,48MP+8MP+2MP,Dual SIM,Yes,\static\30k\reno2-z-128-.jpeg
POCO F1 (Rosso,4.5,21999,8GB,256GB,Snapdragon 845,20MP,12MP+6MP,Dual SIM,Yes,\static\30k\f1-poco-.jpeg
POCO X2 (Phoenix,4.5,21499,8GB,256GB,Snapdragon 730G,20MP+2MP,64MP+8MP+2MP,Dual SIM,Yes,\static\30k\poco-x2-na-original-.jpeg
Realme X (Space,4.5,20999,8GB,128GB,Snapdragon 710,16MP,48MP+5MP,Dual SIM,Yes,\static\30k\realme-x.webp
Realme X2 (Pearl,4.5,22999,8GB,256GB,Snapdragon 730G,32MP+8MP,64MP+8MP+2MP,Dual SIM,Yes,\static\30k\realme-x2-rmx1992-original-.jpeg
Redmi K20 (Glacier,4.5,21999,8GB,256GB,Snapdragon 730,20MP,48MP+8MP+13MP,Dual SIM,Yes,\static\30k\redmi-k20-na-original-.jpeg
Redmi K20 (Pearl,4.5,21999,8GB,256GB,Snapdragon 730,20MP,48MP+8MP+13MP,Dual SIM,Yes,\static\30k\redmi-k20-na-original- (2).jpeg
Redmi K20 Pro,4.5,22999,8GB/12GB,256GB/512GB,Snapdragon 855,20MP,48MP+13MP+8MP,Dual SIM,Yes,\static\30k\redmi-k20-pro-na-original-.jpeg
Vivo V11 (Nebula,4.5,24990,8GB,128GB,Snapdragon 675,25MP,16MP+5MP,Dual SIM,Yes,\static\30k\vivo-v11-pd1813f-ex-vivo-1806-original-.jpeg
Vivo V11 (Starry,4.5,24990,8GB,128GB,Snapdragon 675,25MP,16MP+5MP,Dual SIM,Yes,\static\30k\vivo-v11-pd1813f-ex-vivo-1806-original-.jpeg
Vivo V11 Pro,4.5,28990,8GB,128GB/256GB,Snapdragon 675,25MP,16MP+5MP,Dual SIM,Yes,\static\30k\vivo-v11-pro-1804-1814-original-.jpeg
Vivo V15 Pro,4.5,25744.5,8GB,128GB,Snapdragon 675,32MP,48MP+8MP+5MP,Dual SIM,Yes,\static\30k\vivo-v15-pro-1818.jpeg
