Realme Narzo 20,4.55,13499,4GB,64GB,Mediatek Helio G80,8MP,48MP + 8MP + 2MP + 2MP,Triple,Yes,\static\20k\Realme narzo 20.jpg
Realme XT (Pearl,4.5,17332.33333,4GB,64GB,Qualcomm Snapdragon 712,16MP,64MP + 8MP + 2MP + 2MP,Quad,Yes,\static\20k\Realme XT.jpg
Realme 5i (Forest,4.5,10999,3GB,32GB,Mediatek Helio P60,8MP,12MP + 8MP + 2MP + 2MP,Quad,Yes,\static\20k\Realme 5i.jpg
OPPO F9 Pro,4.5,19490,6GB,64GB,MediaTek Helio P60,25MP,16MP + 2MP,Dual,Yes,\static\20k\oppo-f9-pro.webp
POCO F1 (Steel,4.5,18999,6GB,64GB,Qualcomm Snapdragon 845,20MP,12MP + 5MP,Dual,Yes,\static\20k\Poco F1.jpg
POCO X2 (Matrix,4.5,17999,6GB,128GB,Qualcomm Snapdragon 730G,20MP + 2MP,64MP + 8MP + 2MP + 2MP,Quad,Yes,\static\20k\Poco X2 (matrix).jpg
POCO X2 (Phoenix,4.5,18499,6GB,128GB,Qualcomm Snapdragon 730G,20MP + 2MP,64MP + 8MP + 2MP + 2MP,Quad,Yes,\static\20k\Poco X2 (phoneix).jpg
Vivo Z1Pro (Sonic,4.5,16990,6GB,64GB,Qualcomm Snapdragon 712,32MP,48MP + 8MP + 2MP,Triple,Yes,\static\20k\Vivo z1 pro (sonic).jpg
Redmi Note 6,4.5,13871,3GB,32GB,Qualcomm Snapdragon 632,5MP,12MP + 5MP,Dual,Yes,\static\20k\Redmi note 6.jpg
Realme 2 Pro,4.5,14656.66667,4GB,64GB,Qualcomm Snapdragon 660,16MP,16MP + 2MP,Dual,Yes,\static\20k\Realme 2 pro.jpg
Realme 3 Pro,4.5,15749,6GB,128GB,Qualcomm Snapdragon 710,25MP,16MP + 5MP + 2MP,Triple,Yes,\static\20k\Realme 3 pro.jpg
Realme 5i (Aqua,4.5,10999,3GB,32GB,Mediatek Helio P60,8MP,12MP + 8MP + 2MP + 2MP,Quad,Yes,\static\20k\Realme 5i.jpg
POCO X2 (Atlantis,4.5,17999,6GB,128GB,Qualcomm Snapdragon 730G,20MP + 2MP,64MP + 8MP + 2MP + 2MP,Quad,Yes,\static\20k\Poco x2 (Atlantis).jpg
Realme X2 (Pearl,4.5,17999,6GB,64GB,Qualcomm Snapdragon 730G,32MP + 8MP,64MP + 8MP + 2MP + 2MP,Quad,Yes,\static\20k\Realme X2 (pearl).jpg
Realme X (Space,4.5,17999,8GB,128GB,Qualcomm Snapdragon 710,16MP,48MP + 5MP,Dual,Yes,\static\20k\Realme narzo x.jpg
Realme Narzo 10,4.5,11999,4GB,64GB,Mediatek Helio G80,8MP,48MP + 8MP + 2MP + 2MP,Quad,Yes,\static\20k\realme-narzo-10-.webp
Realme C15 (Power,4.5,10999,3GB,32GB,Mediatek Helio G35,5MP,13MP + 2MP + 2MP,Triple,Yes,\static\20k\Realme C 15.jpg
Realme 5 Pro,4.457142857,16427.57143,4GB,64GB,Qualcomm Snapdragon 712,16MP,48MP + 8MP + 2MP + 2MP,Quad,Yes,\static\20k\Realme 5 pro.jpg
Redmi Note 7,4.45,14163.7,3GB,32GB,Qualcomm Snapdragon 660,13MP,12MP + 2MP,Dual,Yes,\static\20k\Redmi note 7.jpg
Vivo S1 (Diamond,4.45,18109.5,6GB,64GB,Qualcomm Snapdragon 665,32MP,16MP + 8MP + 5MP,Dual,Yes,\static\20k\Vivo S1.jpg
"Redmi Y2 (Gold,",4.45,11554.5,3GB,64GB,Qualcomm Snapdragon 660,16MP,12MP + 5MP,Dual,Yes,\static\20k\Redmi y2 (gold).jpg
Vivo S1 (Skyline,4.45,18490,6GB,128GB,Qualcomm Snapdragon 665,32MP,16MP + 8MP + 5MP,Dual,Yes,\static\20k\Vivo S1 (skyline).jpg
Realme 6i (Eclipse,4.45,13499,4GB,64GB,Mediatek Helio G80,16MP,48MP + 8MP + 2MP + 2MP,Quad,Yes,\static\20k\Realme 6i (Eclipse).jpg
