Samsung Galaxy A03,3.8,8190,Samsung,0,259.6,3GB,32GB,Unisoc T606,5MP,48MP,Dual SIM,Yes,\static\10K Company\Samsung a03.webp
OPPO A15s (Rainbow,4.3,9990,OPPO,20,106.2,3GB,32GB,MediaTek Helio P35,5MP,13MP,Triple SIM,Yes,\static\10K Company\a15s--oppo-.webp
vivo Y15s Mystic,4.1,9499,vivo,22,100,3GB,32GB,Helio P35,8MP,13MP,Dual SIM,Yes,\static\10K Company\Vivo y15s.webp
IKALL Z20 Smartphone,4.3,7499,IKALL,26,1,3GB,32GB,Unisoc SC9863A,8MP,13MP,Dual SIM,Yes,\static\10K Company\z20-z20-pro-i-kall-.webp
