Samsung Galaxy M53,3.9,26499,Samsung,0,259.6,6GB,128GB,MediaTek Dimensity 900,32MP,108MP + 8MP + 2MP + 2MP,Dual SIM,No,\static\50k Company\M53.webp
Xiaomi 11 Lite,4,25665.66667,Xiaomi,4,152.2,6GB,128GB,Qualcomm Snapdragon 732G,16MP,64MP + 8MP + 5MP,Dual SIM,No,\static\50k Company\11-lite-.webp
OPPO F21 Pro,4.1,21999,OPPO,20,106.2,8GB,128GB,Qualcomm Snapdragon 680,32MP,64MP + 8MP + 2MP,Dual SIM,Yes,\static\50k Company\OPPO-f21-pro.webp
Vivo V23 5G,4,29400,Vivo,8,100,8GB,128GB,MediaTek Dimensity 900,50MP,108MP + 8MP + 2MP,Dual SIM,No,\static\50k Company\VIVO V23.webp
